,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original
,babá,empregada doméstica que cuida de crianças,baba1.mp3,kibáaba,ama-de-leite,baba0.mp3
,bagunça,"desordem, confusão",bagunca1.mp3,bulungunza,"desordem, confusão",bagunca0.mp3
,bamba ,"mestre, craque",bamba1.mp3,kibamba,"campeão, herói",bamba0.mp3
,banguela ,desdentado,banguela1.mp3,bangala,fenda nos dentes,banguela0.mp3
,batucar ,bater com ritmo,batucar1.mp3,vutuka,batida forte no tambor,batucar0.mp3
,beleléu,morrer; desaparecer; fracassar,beleleu1.mp3,mbelele,cemitério,beleleu0.mp3
,berimbau ,,berimbau1.mp3,madimbaw,instrumento musical,berimbau0.mp3
,bunda,"nádegas, traseiro",bunda1.mp3,mbunda,nádegas; ânus,bunda0.mp3
,cachaça,aguardente,cachaca1.mp3,kisasa,aguardente,cachaca0.mp3
,cachimbo,utensílio para fumar,cachimbo1.mp3,kamzimu,pequeno tição fumegante; utensílio para fumar,cachimbo0.mp3
,caçula,o mais novo dos filhos ou irmãos,cacula1.mp3,kasole,o último filho,cacula0.mp3
,cafuné,carícia com a ponta dos dedos no couro cabeludo de outra pessoa,cafune1.mp3,kafunile,ação de bater com os dedos,cafune0.mp3
,calango,lagarto,calango1.mp3,dikalanga,lagarto,calango0.mp3
,canga,tecido usado como saída de praia,canga1.mp3,nkanga,tecido com que as mulheres amarram a criança em voltado do corpo,canga0.mp3
,cangaço,"quadrilha de cangaceiros, antigos bandidos do sertão nordestino",cangaco1.mp3,nkangunsu,grupo de bandoleiros,cangaco0.mp3
,capenga ,manco; defeituoso,capenga1.mp3,kiapenga,manco; coxo,capenga0.mp3
,capoeira ,arte marcial de ataque e defesa introduzida no Brasil por escravos bantos,capoeira1.mp3,kambulela,ação de repelir e esquivar-se com rasteiras e golpes de pé,capoeira0.mp3
,carimbo ,"peça contendo letras, números ou figuras em relevo para marcar ou autenticar documentos",carimbo1.mp3,kandimbu,sinete para marcar escravos; marca de escravos,carimbo0.mp3
,cochilar,dormitar; dormir levemente,cochilar1.mp3,kushila,dormitar; dormir levemente,cochilar0.mp3
,cuíca ,,cuica1.mp3,pwita,instrumento musical,cuica0.mp3
,curinga,carta de baralho que pode substituir outras; indivíduo versátil,curinga1.mp3,kudinga,enganar,curinga0.mp3
,dendê,espécie de palmeira e seu fruto; óleo vermelho obtido desse fruto,dende1.mp3,ndende,espécie de palmeira e seu fruto; óleo vermelho obtido desse fruto,dende0.mp3
,dengo,"comportamento astucioso e sedutor, especialmente do sexo feminino; manha; faceirice, birra",dengo1.mp3,ndenge,"faceirice, docilidade, sensibilidade feminina",dengo0.mp3
,encabular,provocar ou sentir vergonha; acanhar-se,encabular1.mp3,nkivula,provocar ou sentir vergonha; acanhar-se,encabular0.mp3
,forró,baile popular; gênero de música de origem nordestina,forro1.mp3,fwofwo,confusão; folia; dança com requebros,forro0.mp3
,fubá,farinha de milho ou arroz,fuba1.mp3,mfuba,farinha de milho ou arroz,fuba0.mp3
,garapa,caldo de cana,garapa1.mp3,ngwalavwa,refresco,garapa0.mp3
,ginga,balanço de corpo; requebro; trejeito,ginga1.mp3,zinga,"enrolar, serpentear, balancear o corpo",ginga0.mp3
,lengalenga ,"conversa fiada, enfadonha; ladainha",lengalenga1.mp3,lenga-lenga  ,conversa enganosa,lengalenga0.mp3
,macaco,símio,macaco1.mp3,makaaku,símio,macaco0.mp3
,miçanga,pequena conta colorida de massa de vidro,micanga1.mp3,minsanga,contas de vidro para colares e brincos,micanga0.mp3
,minhoca ,verme anelídeo,minhoca1.mp3,minyoka,cobra,minhoca0.mp3
,moleque ,"menino, garoto",moleque1.mp3,muléke,"menino, garoto",moleque0.mp3
,moringa ,bilha de barro para água fresca potável,moringa1.mp3,mudingi,"bilha, cântaro de barro",moringa0.mp3
,muamba,mercadoria contrabandeada; contrabando,muamba1.mp3,muhamba,"fraude, roubo",muamba0.mp3
,quilombo ,povoação de escravos fugidos,quilombo1.mp3,kilombo,aldeamento,quilombo0.mp3
,quindim ,"doce feito com ovos, coco e açúcar",quindim1.mp3,kintinti,delicadeza,quindim0.mp3
,quitanda ,pequeno estabelecimento onde se vendem verduras e frutas,quitanda1.mp3,kitanda,feira; estabelecimento onde se vendem verduras e frutas,quitanda0.mp3
,quitute,"petisco, comida refinada",quitute1.mp3,kilute,"petisco, iguaria",quitute0.mp3
,sunga,traje de banho masculino; cueca estreita,sunga1.mp3,sunga,calção,sunga0.mp3
,tanga,"parte de baixo da roupa de banho, de pequenas dimensões",tanga1.mp3,tanga,tapa-sexo,tanga0.mp3
,xingar,ofender; agredir por meio de palavras,xingar1.mp3,singa,"insultar, ofender com palavras",xingar0.mp3
,xoxota,vulva; genitália feminina,xoxota1.mp3,kisota,clitóris; vulva,xoxota0.mp3
,zanga,sentimento de raiva; rancor; mau-humor; irritação,zanga1.mp3,nzanga,irritação; briga,zanga0.mp3
,zonzo,tonto; desnorteado,zonzo1.mp3,nzanzu,atordoado; tonto,zonzo0.mp3
