,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original
,Aikanã,,,,,
,Aikewara ,,,,,
,Ajuru,,,,,
,Akawai,,,,,
,Akuáwa,,,,,
,Akuntsu,,,,,
,Akwe,,,,,
,Alaketesu,,,,,
,Amanayé,,,,,
,Amondawa,,,,,
,Anambé,,,,,
,Anunsu,,,,,
,Aparai,,,,,
,Apiaká,,,,,
,Apinajé,,,,,
,Apiterewa,,,,,
,Apurinã,,,,,
,Aranã,,,,,
,Arapaso,,,,,
,Arara do Acre,,,,,
,Arara do Aripuanã,,,,,
,Arara do Pará,,,,,
,Arara de Rondônia,,,,,
,Arawaio,,,,,
,Araweté,,,,,
,Arekuma,,,,,
,Arikapu,,,,,
,Aruá ,,,,,
,Aruã,,,,,
,Ashaninka,,,,,
,Assurini do Tocantins,,,,,
,Assurini do Xingu,,,,,
,Atikum,,,,,
,Aukwayene,,,,,
,Avá-Canoeiro,,,,,
,Awá,,,,,
,Awaeté,,,,,
,Awen,,,,,
,Aweti ,,,,,
,Bakairi,,,,,
,Banawa,,,,,
,Baniwa,,,,,
,Bará,,,,,
,Barasana,,,,,
,Barbados,,,,,
,Baré,,,,,
,Beiço-de-Pau,,,,,
,Boe,,,,,
,Bororo,,,,,
,Borun,,,,,
,Buia-Tapuya,,,,,
,Canela Apaniekra,,,,,
,Canela Rankokamekra,,,,,
,Canoê,,,,,
,Canoeiros,,,,,
,Cantaruré,,,,,
,Capinauá,,,,,
,Cariri,,,,,
,Cariri-Chocó,,,,,
,Caritiana,,,,,
,Cassupa,,,,,
,Chamacoco,,,,,
,Chiquitano,,,,,
,Cinta-Larga,,,,,
,Cobewa,,,,,
,Cocama,,,,,
,Craô,,,,,
,Dasea,,,,,
,Deni,,,,,
,Desana,,,,,
,Djahui,,,,,
,Digüt,,,,,
,Dokapuara  ,,,,,
,Enawenê-Nawê,,,,,
,Ejiwajigi,,,,,
,Erigpaktsa,,,,,
,Ewarhuyana,,,,,
,Fulni-ô,,,,,
,Galibi do Oiapoque,,,,,
,Galibi Marworno,,,,,
,Gavião do Maranhão,,,,,
,Gavião do Pará,,,,,
,Gavião de Rondônia,,,,,
,Gorotire,,,,,
,Guajá,,,,,
,Guaná,,,,,
,Guajajara,,,,,
,Guarani,,,,,
,Guató,,,,,
,Hahaintesu,,,,,
,Halotesu,,,,,
,Hanera,,,,,
,Huitoto,,,,,
,Huni-Kuin,,,,,
,Hupda,,,,,
,Hyskariana,,,,,
,Ianomâmi,,,,,
,Iauanauá,,,,,
,Ikpeng,,,,,
,Ingarikó,,,,,
,Iranxe,,,,,
,Iraru mahãdu,,,,,
,Ixybiowa,,,,,
,Jabuti,,,,,
,Jarawara,,,,,
,Javaé,,,,,
,Jenipapo-Kanindé,,,,,
,Jeromitxi,,,,,
,Jiahui,,,,,
,Jiripancó,,,,,
,Juma,,,,,
,Jupaú,,,,,
,Juruna,,,,,
,Kadiweu,,,,,
,Kagwahiva,,,,,
,Kayabi,,,,,
,Kaingang,,,,,
,Kaiowá,,,,,
,Kaixana,,,,,
,Kalabaça ,,,,,
,Kalankó ,,,,,
,Kalapalo,,,,,
,Kamã,,,,,
,Kamaiurá,,,,,
,Kamba,,,,,
,Kambeba,,,,,
,Kambiwá,,,,,
,Kampa,,,,,
,Kanamanti,,,,,
,Kanamari,,,,,
,Kanindé,,,,,
,Kantaruré,,,,,
,Kapaná,,,,,
,Kapinamari,,,,,
,Kapinawá,,,,,
,Kapon-Ingarikó ,,,,,
,Karafawyana,,,,,
,Karajá,,,,,
,Karapanã,,,,,
,Karapotó,,,,,
,Kararaô ,,,,,
,Karipuna ,,,,,
,Karitiana,,,,,
,Karo,,,,,
,Karuazu,,,,,
,Katuena,,,,,
,Katukina,,,,,
,Katukina Pano,,,,,
,Katukina Shanenawa,,,,,
,Katxuyana,,,,,
,Kaxaxari,,,,,
,Kaxinawá,,,,,
,Kaxixó ,,,,,
,Kayapó,,,,,
,Kikretum,,,,,
,Kinikinau,,,,,
,Kinja,,,,,
,Kiriri,,,,,
,Kĩsêdjê            ),,,,,
,Kithaulu,,,,,
,Koaiá,,,,,
,Koinukonoen,,,,,
,Kokraimoro,,,,,
,Kokuiregatejê,,,,,
,Korubo,,,,,
,Krenak,,,,,
,Krenhakarore,,,,,
,Krenyê ,,,,,
,Krikati ,,,,,
,Kriketum,,,,,
,Kuben-Kran-Ken,,,,,
,Kubeo,,,,,
,Kuikuro,,,,,
,Kujubim,,,,,
,Kulina Madihá,,,,,
,Kulina Pano,,,,,
,Kurâ                                             ,,,,,
,Kuripako,,,,,
,Kuruaya,,,,,
,Kuyubi,,,,,
,Kwazá  ,,,,,
,Latundê ,,,,,
,Machineri,,,,,
,Macurap,,,,,
,Makuxi,,,,,
,Madiha,,,,,
,Magüta,,,,,
,Maiongong,,,,,
,Maku,,,,,
,Makuna,,,,,
,Mamaindê,,,,,
,Manduka,,,,,
,Manoki,,,,,
,Marubo,,,,,
,Matipu,,,,,
,Matis,,,,,
,Matsé,,,,,
,Maxakali,,,,,
,Massaká,,,,,
,Mawayana,,,,,
,Mayoruna,,,,,
,Mbya,,,,,
,Mebengokre,,,,,
,Mehim,,,,,
,Mekens,,,,,
