,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,acarajé,"bolo de feijão fradinho, temperado e moído com camarão seco, sal e cebola, frito no azeite de dendê",acaraje1.mp3,Àkàrà (jä),bolo de feijão frito no dendê,acaraje0.mp3,fon/iorubá
,afoxé ,cortejo carnavalesco da Bahia,afoxe1.mp3,ÁfÆæä,cortejo,afoxe0.mp3,iorubá
,agogô ,instrumento musical usado no candomblé,agogo1.mp3,Agogo,instrumento musical com duas campânulas de ferro,agogo0.mp3,iorubá
,angu,"pasta de fubá de milho, mandioca ou arroz com sal",angu1.mp3,àgun,"pirão de inhame ou de mandioca, sem tempero",angu0.mp3,fon
,auê ,"alvoroço, confusão",aue1.mp3,ààwè,"confusão, tumulto",aue0.mp3,iorubá
,axé,objetos sagrados do orixá; força divina; amém,axe1.mp3,Àæä,"todo objeto sagrado da divindade, alicerce mágico do terreiro",axe0.mp3,iorubá
,babalaô,"pai do segredo; vidente; sacerdote de Ifá, a divindade que preside a adivinhação com os búzios",babalao1.mp3,Babaláwo,"vidente; sacerdote de Ifá, a divindade que preside a adivinhação com os búzios",babalao0.mp3,iorubá
,babalorixá,pai-de-santo,babalorixa1.mp3,babalórìshà,sacerdote,babalorixa0.mp3,iorubá
,bobó,"comida feita com feijão, inhame ou banana-da-terra, com camarão e azeite de dendê",bobo1.mp3,abobo,"comida feita com feijão, inhame ou banana-da-terra, com camarão e azeite de dendê",bobo0.mp3,fon
,ebó ,"despacho, oferenda",ebo1.mp3,ïbå,oferenda a Exu e às divindades deixada em alguma encruzilhada,ebo0.mp3,iorubá
,Exu ,"divindade que serve de intermediária entre os homens e os deuses, capaz de fazer tanto o mal quanto o bem",exu1.mp3,Èæù,"divindade que serve de intermediária entre os homens e os deuses, capaz de fazer tanto o mal quanto o bem",exu0.mp3,iorubá
,ialorixá,mãe-de-santo,ialorixa1.mp3,Ìyálórìæà,sacerdotisa,ialorixa0.mp3,iorubá
,Iansã,"orixá do fogo, do trovão e da tempestade",iansa1.mp3,Ìyá mÅsàn,mãe do fogo,iansa0.mp3,iorubá
,ibêji,"gêmeos; espíritos infantis do candomblé, identificados com os santos católicos Cosme e Damião",ibeji1.mp3,Ìbéjì,gêmeos; espíritos infantis,ibeji0.mp3,iorubá
,Iemanjá,orixá do mar,iemanja1.mp3,Iyämåja,orixá do mar,iemanja0.mp3,iorubá
,Ifá ,o destino dos homens; o oráculo; divindade que preside a adivinhação com os búzios,ifa1.mp3,Ifá,o destino dos homens; o oráculo; divindade que preside a adivinhação com os búzios,ifa0.mp3,iorubá
,Nanamburucu,"a mãe, grande ancestral da linhagem dos deuses, também conhecida apenas como Nanã",nanaburucu1.mp3,Nana Bùrúkù,"a mãe, grande ancestral da linhagem dos deuses",nanaburucu0.mp3,fon
,neca,pênis,neca1.mp3,nekan,pênis,neca0.mp3,fon
,odara ,"bem, bom, bonito",odara1.mp3,ðdàrà,"bom, bonito, esplêndido, muito bem",odara0.mp3,iorubá
,Ogum,orixá do ferro e da guerra,ogum1.mp3,Ògún    ,orixá do ferro e da guerra,ogum0.mp3,iorubá
,Omulu,orixá da varíola e das doenças da pele,omulu1.mp3,ðmålú,orixá da varíola e das doenças da pele,omulu0.mp3,iorubá
,oriqui ,cânticos ou poemas de louvor aos feitos e atributos dos orixás,oriqui1.mp3,Oríkì,cânticos de louvor aos feitos e atributos dos orixás,oriqui0.mp3,iorubá
,orixá,divindade africana,orixa1.mp3,Òrìæà,divindade,orixa0.mp3,iorubá
,Oxalá,divindade suprema; pai de todos os orixás,oxala1.mp3,Òrìæà-àlà,divindade suprema; pai de todos os orixás,oxala0.mp3,iorubá
,Oxóssi,orixá da caça e das matas,oxossi1.mp3,ÒæËwùsì,orixá da caça e das matas,oxossi0.mp3,iorubá
,Oxum,orixá que comanda os rios e todas as águas doces,oxum1.mp3,ọ̀ṣun,orixá que comanda os rios e todas as águas doces,oxum0.mp3,iorubá
,Oxumaré,"orixá da riqueza, associado ao arco-íris",oxumare1.mp3,Òæùmàrè,"orixá da riqueza, associado ao arco-íris",oxumare0.mp3,iorubá
,vodum,"vodu; divindade evé-fon, equivalente a orixá",vodum1.mp3,vódun,"divindade evé-fon, equivalente a orixá",vodum0.mp3,fon
,Xangô,orixá dos raios e do trovão,xango1.mp3,ñàngó,orixá dos raios e do trovão,xango0.mp3,iorubá
,xinxim,"guisado de galinha ou outra carne, com camarões secos, amendoim e castanha de caju",xinxim1.mp3,ðæinæin,"guisado de galinha ou outra carne, com camarões secos e azeite de dendê",xinxim0.mp3,iorubá
