,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original,Lingua
,baderna,"desordem, confusão, tumulto",baderna1.mp3,Baderna,"sobrenome da dançarina italiana Marieta Baderna, que esteve no Rio de Janeiro em 1851, provocando tumulto",baderna0.mp3,italiano
,bagatela,coisa sem importância; soma irrisória de dinheiro,bagatela1.mp3,bagatella,coisa de escasso valor,bagatela0.mp3,italiano
,bar mitzvah ,"na religião judaica, a maturidade religiosa do menino quando completa 13 anos; festa que comemora essa passagem",barmitsvar1.mp3,bar mitzvah ,"na religião judaica, a maturidade religiosa do menino quando completa 13 anos; festa que comemora essa passagem",barmitsvar0.mp3,hebraico
,blitz,batida policial ou ação fiscalizadora de caráter inesperado,blitz1.mp3,blitzkrieg ,guerra-relâmpago; ofensiva poderosa,blitz0.mp3,alemão
,bonsai,técnica e arte de miniaturizar plantas,bonsai1.mp3,bonsai,técnica e arte de miniaturizar plantas,bonsai0.mp3,japonês
,brachola,"fatia de carne enrolada, recheada e cozida",braxola1.mp3,braciola,"fatia de carne enrolada, recheada e cozida",braxola0.mp3,italiano
,camicase,piloto japonês treinado para pilotar aviões carregados de explosivos em ataques suicidas; pessoa que se arrisca muito ao agir; suicida,kamikase1.mp3,kamikaze ,"literalmente, vento divino; piloto japonês treinado para pilotar aviões carregados de explosivos em ataques suicidas",kamikase0.mp3,japonês
,canalha,pessoa infame; patife; cafajeste,canalha1.mp3,canaglia,conjunto de pessoas desprezíveis; pessoa indigna,canalha0.mp3,italiano
,cantina,restaurante de comida italiana,cantina1.mp3,cantina,lugar onde se vende vinho,cantina0.mp3,italiano
,capuchino,bebida feita com café e espuma de leite,capuccino1.mp3,cappuccino,bebida feita com café e espuma de leite,capuccino0.mp3,italiano
,caraoquê,tipo de entretenimento em que uma pessoa canta ao microfone acompanhada por fundos musicais gravados ou acompanhados por banda,karaoke1.mp3,karaoke,tipo de entretenimento em que uma pessoa canta ao microfone acompanhada por fundos musicais gravados ou acompanhados por banda,karaoke0.mp3,japonês
,caratê,"antiga arte marcial oriental, em que se usam apenas as mãos e os pés",karate1.mp3,karate,antiga arte marcial oriental em que se usam apenas as mãos e os pés,karate0.mp3,japonês
,ceviche,"iguaria feita à base de peixe fresco cru, cortado em pequenas tiras e marinado em cítricos, à qual são adicionados temperos variados",ceviche1.mp3,ceviche,"iguaria feita à base de peixe fresco cru, cortado em pequenas tiras e marinado em cítricos, à qual são adicionados temperos variados",ceviche0.mp3,espanhol
,chope,cerveja fresca servida em barril sob pressão,shop1.mp3,schoppe,caneco de cerveja,shop0.mp3,alemão
,chop-suey,"iguaria feita com legumes, acompanhados de tiras de carne de frango, porco ou peixe, servida com arroz",chopsuey1.mp3,shap sui ,"iguaria feita com legumes, acompanhados de tiras de carne de frango, porco ou peixe, servida com arroz; literalmente, miscelânea",chopsuey0.mp3,chinês
,decasségui,"descendente de japonês emigrado para o Brasil, que vai trabalhar por período temporário no Japão, muitas vezes em subempregos",decaceg1.mp3,dekassegui,trabalhador temporário,decaceg0.mp3,japonês
,esfirra,"espécie de pastel de forno recheado com carne, queijo, verdura e temperos diversos",esfiha1.mp3,isfiha,"espécie de pastel de forno recheado com carne, queijo, verdura e temperos diversos",esfiha0.mp3,árabe
,espaguete,pasta alimentar à base de trigo em forma de fios delgados,espageti1.mp3,spaghetti,pasta alimentar à base de trigo em forma de fios delgados,espageti0.mp3,italiano
,galeto,frango novo que se prepara assado no espeto,galeto1.mp3,gallétto,galo pequeno,galeto0.mp3,italiano
,grafite,desenhos feitos geralmente com spray de tinta em paredes e muros de uma cidade,grafiti1.mp3,graffitto,inscrição ou desenho feito sobre rochas ou paredes,grafiti0.mp3,italiano
,jiu-jítsu,método de luta criado no Japão por volta do século XVI,giugtsu1.mp3,jujutsu,método de luta criado no Japão por volta do século XVI,giugtsu0.mp3,japonês
,judô,sistema de luta corporal que se constitui em uma modalidade do antigo jiu-jítsu,judo1.mp3,judo,sistema de luta corporal que se constitui em uma modalidade do antigo jiu-jítsu,judo0.mp3,japonês
,kosher,alimentos permitidos pela lei judaica,cocher1.mp3,kosher,alimentos permitidos pela lei judaica ortodoxa,cocher0.mp3,iídiche 
,macarrão,massa alimentícia introduzida no Brasil por imigrantes italianos,macarrao1.mp3,maccherone,massa ou pasta alimentícia de diversos tipos,macarrao0.mp3,italiano 
