,Palavra PT,Significado PT,Audio PT,Palavra Original,Significado Original,Audio Original
,Pitanga,fruto da pitangueira,pitanga1.mp3,ybápytánga,fruto da pitangueira, literalmente: fruta vermelha,pitanga0.mp3
,Pixaim,cabelo muito crespo, carapinha,pixaim1.mp3,apixa’ín,crespo, enrugado,pixaim0.mp3
,Puçá,"rede para capturar crustáceos, peneira para apanhar peixe miúdo",puca1.mp3,pysá,rede de pesca,puca0.mp3
,Sabiá,pássaro apreciado pela beleza de seu canto,sabia1.mp3,sabi’á,pássaro apreciado pela beleza de seu canto,sabia0.mp3
,Sagüi,pequeno primata encontrado nas Américas Central e do Sul,sagui1.mp3,sawí,pequeno primata encontrado nas Américas Central e do Sul,sagui0.mp3
,Siri,crustáceo marinho,siri1.mp3,siri,crustáceo marinho,siri0.mp3
,Socar,"bater, pilar, dar socos",socar1.mp3,sók,pilar, bater com ponta,socar0.mp3
,Taba,aldeia indígena,taba1.mp3,tába,aldeia,taba0.mp3
,Tamanduá,animal típico da América do Sul,tamandua1.mp3,tamanduá,animal típico da América do Sul,tamandua0.mp3
,Tapioca,"polvilho de mandioca, beiju feito com este polvilho, massa preparada com goma de mandioca e temperado com coco",tapioca1.mp3,typy’óka,polvilho de mandioca, literalmente: tirado do fundo,tapioca0.mp3
,Tatu,animal típico das Américas,tatu1.mp3,tatú,animal típico das Américas,tatu0.mp3
,Tipiti,prensa de mandioca,tipiti1.mp3,tepití,prensa de mandioca,tipiti0.mp3
,Tocaia,de vigia, à espreita,tocaia1.mp3,tokáia,pequena casa rústica em que o caçador aguarda a caça sem ser pressentido,tocaia0.mp3
,Tucano,espécie de ave típica das Américas Central e do Sul,tucano1.mp3,tukána,espécie de ave típica das Américas Central e do Sul,tucano0.mp3
